id,question_text
1,You are helping someone find a location. What would you most likely do?
2,You are learning a new software program. What helps you most?
3,What do you think is your strongest skill?
4,When making an important decision you usually:
5,You need to learn how to use a new application. You would prefer:
6,What type of class activity helps you learn the most?
7,You receive feedback on your work. You prefer it:
8,When revising for an exam you usually:
9,When trying to remember something you often:
10,You want to cook a new recipe. You prefer:
11,You are checking your progress on a task. You prefer:
12,You are learning about a new topic. You would rather use:
